point,pipeline,unit,quantity,program_value,truth_value,delta,delta_m_equiv,tolerance,status,truth_source
C1,geodetic->SPC 2112,ift,convergence_arcsec,-5298.06,-5298.06,0,,0.02,PASS,llh_C1_2112.json
C1,geodetic->SPC 2112,ift,geoid_height_m,-34.731,-34.731,0,,0.002,PASS,geoid_C1.json
C1,geodetic->SPC 2112,ift,elevation_factor,0.99997406,0.9999740639181466,-3.918146585e-09,,2e-08,PASS,geoid_C1.json + derivation R/(R+H+N)
C1,geodetic->SPC 2112,ift,combined_factor,1.00015861,1.0001586091316426,8.68357386e-10,,2e-08,PASS,llh_C1_2112.json k * derived EF
C2,geodetic->SPC 2112,ift,northing,942041.691,942041.691,0,0,0.006561679790026247,PASS,llh_C2_2112.json
C2,geodetic->SPC 2112,ift,easting,19595075.52,19595075.52,0,0,0.006561679790026247,PASS,llh_C2_2112.json
C2,geodetic->SPC 2112,ift,grid_scale_factor,1.00005242,1.00005242,0,,2e-08,PASS,llh_C2_2112.json
C2,geodetic->SPC 2112,ift,convergence_arcsec,-898.55,-898.55,0,,0.02,PASS,llh_C2_2112.json
C2,geodetic->SPC 2112,ift,geoid_height_m,-35.396,-35.396,0,,0.002,PASS,geoid_C2.json
C2,geodetic->SPC 2112,ift,elevation_factor,0.99997574,0.9999757375629424,2.437057556e-09,,2e-08,PASS,geoid_C2.json + derivation R/(R+H+N)
C2,geodetic->SPC 2112,ift,combined_factor,1.00002816,1.0000281562911055,3.708894525e-09,,2e-08,PASS,llh_C2_2112.json k * derived EF
C3,geodetic->SPC 2112,ift,northing,529838.792,529838.792,0,0,0.006561679790026247,PASS,llh_C3_2112.json
C3,geodetic->SPC 2112,ift,easting,19359373.0,19359373.0,0,0,0.006561679790026247,PASS,llh_C3_2112.json
C3,geodetic->SPC 2112,ift,grid_scale_factor,0.99991763,0.99991763,0,,2e-08,PASS,llh_C3_2112.json
C3,geodetic->SPC 2112,ift,convergence_arcsec,-3188.84,-3188.84,0,,0.02,PASS,llh_C3_2112.json
C3,geodetic->SPC 2112,ift,geoid_height_m,-34.67,-34.67,0,,0.002,PASS,geoid_C3.json
C3,geodetic->SPC 2112,ift,elevation_factor,0.99997609,0.9999760944195758,-4.419575816e-09,,2e-08,PASS,geoid_C3.json + derivation R/(R+H+N)
C3,geodetic->SPC 2112,ift,combined_factor,0.99989373,0.9998937263886785,3.611321575e-09,,2e-08,PASS,llh_C3_2112.json k * derived EF
C4,geodetic->SPC 2112,ift,northing,359708.601,359708.601,0,0,0.006561679790026247,PASS,llh_C4_2112.json
C4,geodetic->SPC 2112,ift,easting,19911935.032,19911935.032,0,0,0.006561679790026247,PASS,llh_C4_2112.json
C4,geodetic->SPC 2112,ift,grid_scale_factor,0.9999753,0.9999753,0,,2e-08,PASS,llh_C4_2112.json
C4,geodetic->SPC 2112,ift,convergence_arcsec,2203.99,2203.99,0,,0.02,PASS,llh_C4_2112.json
C4,geodetic->SPC 2112,ift,geoid_height_m,-35.254,-35.254,0,,0.002,PASS,geoid_C4.json
C4,geodetic->SPC 2112,ift,elevation_factor,0.99997713,0.9999771276418008,2.358199191e-09,,2e-08,PASS,geoid_C4.json + derivation R/(R+H+N)
C4,geodetic->SPC 2112,ift,combined_factor,0.99995243,0.999952428206748,1.793251991e-09,,2e-08,PASS,llh_C4_2112.json k * derived EF
C1,geodetic->SPC 2112,usft,northing,110390.776,110390.776,0,0,0.006561666666666667,PASS,llh_C1_2112.json
C1,geodetic->SPC 2112,usft,easting,19133074.317,19133074.317,0,0,0.006561666666666667,PASS,llh_C1_2112.json
C1,geodetic->SPC 2112,usft,grid_scale_factor,1.00018455,1.00018455,0,,2e-08,PASS,llh_C1_2112.json
C1,geodetic->SPC 2112,usft,convergence_arcsec,-5298.06,-5298.06,0,,0.02,PASS,llh_C1_2112.json
C1,geodetic->SPC 2112,usft,geoid_height_m,-34.731,-34.731,0,,0.002,PASS,geoid_C1.json
C1,geodetic->SPC 2112,usft,elevation_factor,0.99997406,0.9999740639181466,-3.918146585e-09,,2e-08,PASS,geoid_C1.json + derivation R/(R+H+N)
