# The following file can be used to verify proper interpolation and consistency
# with the NAPGD2022 beta version (beta_v0a).  These values
# should only be used for testing purposes and not as geodetic control nor the
# actual NAPGD2022 value.
#
# Last Updated: 20260423
#
# Input Coordinates:
# Latitude_decdeg: ITRF2020
# Longitude_decdeg: ITRF2020
# Ellipsoid_ht_m [Optional]: ITRF2020
#
# If you do not have an ellipsoid height, the corresponding values will use the 
# 1 arcminute DEM value for the orthometric height and dynamic height. 
# If you input an ellipsoid height, the NAPGD2022 Orthometric height (h-N) is
# used to compute the dynamic height.
# The gravity value included here always uses the 1 arcminute DEM height value.
# 
Name,Category,Latitude_decdeg,Longitude_decdeg,Ellipsoid_ht_m,SGEOID2022_m,DGEOID2022_mmperyear,DEFLEC2022_Eta_arcseconds,DEFLEC2022_Xi_arcseconds,DEM2022_H1_m,GRAV2022_mpers2,GQS_m,Hdyn_m
Table Mountain,Bench mark,40.13074713,-105.2326524,,-16.1606,-0.04,22.985,-3.024,1660.743,9.79627116,-0.3938,1659.173
Table Mountain,Bench mark,40.13074713,-105.2326524,1666.5116,-16.1606,-0.04,22.985,-3.024,1660.743,9.79627116,-0.3938,1681.0811
Death Valley,Bench mark,36.20688598,-116.8699532,,-29.969,-0.32,5.184,-3.866,-69.508,9.79723183,0.0095,-69.4433
Death Valley,Bench mark,36.20688598,-116.8699532,-108.1624,-29.969,-0.32,5.184,-3.866,-69.508,9.79723183,0.0095,-78.1225
Alaska,Bench mark,61.20357127,-145.5282415,,19.0141,-1.56,-1.078,-2.104,638.953,9.81859202,-0.0154,639.7804
Alaska,Bench mark,61.20357127,-145.5282415,512.013,19.0141,-1.56,-1.078,-2.104,638.953,9.81859202,-0.0154,493.6447
Puerto Rico,Bench mark,18.45982339,-66.1165986,,-45.2862,-0.01,-1.292,40.908,2.941,9.78666306,0.0003,2.9356
Puerto Rico,Bench mark,18.45982339,-66.1165986,-42.5746,-45.2862,-0.01,-1.292,40.908,2.941,9.78666306,0.0003,2.7063
Midway,Bench mark,28.20918153,-177.3716912,,1.6114,0.2,2.183,-6.283,2.373,9.79460616,0.0009,2.37
Midway,Bench mark,28.20918153,-177.3716912,4.0996,1.6114,0.2,2.183,-6.283,2.373,9.79460616,0.0009,2.4855
Guam,Bench mark,13.42893063,144.8012569,,54.8584,0.2,15.61,-15.38,39.168,9.78510658,0.0096,39.0852
Guam,Bench mark,13.42893063,144.8012569,91.3562,54.8584,0.2,15.61,-15.38,39.168,9.78510658,0.0096,36.4212
American Samoa,Bench mark,-14.2756474,-170.692774,,32.9651,0.04,-0.632,8.07,137.776,9.78611247,0.0433,137.4969
American Samoa,Bench mark,-14.2756474,-170.692774,35.2133,32.9651,0.04,-0.632,8.07,137.776,9.78611247,0.0433,2.2862
Meades Ranch,Bench mark,39.22409289,-98.54216317,,-26.8081,-0.08,3.773,-1.003,556.333,9.79932081,-0.0382,555.9521
Meades Ranch,Bench mark,39.22409289,-98.54216317,572.9776,-26.8081,-0.08,3.773,-1.003,556.333,9.79932081,-0.0382,599.3734
Rimouski,Bench mark,48.47501082,-68.51222553,,-26.5587,0.44,-7.548,5.96,6.458,9.80882781,-0.0003,6.4603
Rimouski,Bench mark,48.47501082,-68.51222553,-20.6304,-26.5587,0.44,-7.548,5.96,6.458,9.80882781,-0.0003,5.93
